,prompt,source,prompt_id,prediction
0,"The following are multiple choice questions (with answers) about formal logic.

Select the best translation into predicate logic. David teaches Chris. (c: Chris; d: David; Txy: x teaches y)
A. Tdc
B. Tcd
C. Tcc
D. dTc
Answer:",mmlu,mmlu-0,Label.NONE
1,"The following are multiple choice questions (with answers) about formal logic.

 Select the best English interpretation of the given proposition, using the following translation key: Ax: x is an apartment Hx: x is a house Lx: x is large Bxy: x is bigger than y (∃x)[(Ax • Lx) • (∃y)(Hy • Bxy)]
A. Some large houses are bigger than some apartments.
B. Some houses are bigger than all large apartments.
C. Some large apartments are bigger than some houses.
D. Some houses are bigger thatn some large apartments.
Answer:",mmlu,mmlu-1,Label.NONE
2,"The following are multiple choice questions (with answers) about formal logic.

Construct a complete truth table for the following argument. Then, using the truth table, determine whether the argument is valid or invalid. If the argument is invalid, choose an option which presents a counterexample. (There may be other counterexamples as well.)
~G ⊃ H
~H / G
A. Valid
B. Invalid. Counterexample when G and H are true
C. Invalid. Counterexample when G is true and H is false
D. Invalid. Counterexample when H is true and G is false
Answer:",mmlu,mmlu-2,Label.NONE
3,"The following are multiple choice questions (with answers) about formal logic.

 Use the following key to translate the given formula of PL to natural, English sentences.
A: Marina reads a Percy Jackson book.
B: Izzy plays Minecraft.
C: Emily stops working.
D: Russell makes dinner.
E: Ashleigh stops by.
(~B • E) ⊃ D
A. If it's not the case that both Izzy plays Minecraft and Ashleigh stops by then Russell makes dinner.
B. If it's both not the case that Izzy plays Minecraft and Ashleigh stops by then Russell makes dinner.
C. Izzy playing Minecraft and Ashleigh stopping by entails that Russell makes dinner.
D. Russell's making dinner is a sufficient condition for Izzy not playing Minecraft and Ashleigh stopping by.
Answer:",mmlu,mmlu-3,Label.NONE
4,"The following are multiple choice questions (with answers) about formal logic.

 Select the best English interpretation of the given proposition, using the following translation key: Ax: x is an apartment Hx: x is a house Lx: x is large Bxy: x is bigger than y (∃x)[Hx • (∀y)(Ay ⊃ Bxy)]
A. Some houses are smaller than all apartments.
B. Every house is bigger than every apartment.
C. Some apartment is smaller than every house.
D. Some houses are bigger than every apartment.
Answer:",mmlu,mmlu-4,Label.NONE
5,"The following are multiple choice questions (with answers) about formal logic.

Construct a complete truth table for the following argument. Then, using the truth table, determine whether the argument is valid or invalid. If the argument is invalid, choose an option which presents a counterexample. (There may be other counterexamples as well.)
~K ≡ L / (K · L) ∨ (K · ~L)
A. Valid
B. Invalid. Counterexample when K and L are true
C. Invalid. Counterexample when K is true and L is false
D. Invalid. Counterexample when L is true and K is false
Answer:",mmlu,mmlu-5,Label.NONE
6,"The following are multiple choice questions (with answers) about formal logic.

Identify the antecedent of the following conditional proposition: If the university does not increase financial aid, either the president fails to approve it or the board of trustees prevents it.
A. The university increases financial aid.
B. The university does not increase financial aid.
C. The board of trustees prevents it.
D. The president fails to approve it.
Answer:",mmlu,mmlu-6,Label.NONE
7,"The following are multiple choice questions (with answers) about formal logic.

 Which of the following propositions is an immediate (one-step) consequence in PL of the given premises?
~E ⊃ ~F
G ⊃ F
H ∨ ~E
H ⊃ I
~I
A. E ⊃ F
B. F ⊃ G
C. H ⊃ ~E
D. ~H
Answer:",mmlu,mmlu-7,Label.NONE
8,"The following are multiple choice questions (with answers) about formal logic.

 Which of the given formulas of PL is the best symbolization of the following sentence?
Everybody loves Raymond, or not.
A. L
B. ~L
C. L • ~L
D. L ∨ ~L
Answer:",mmlu,mmlu-8,Label.NONE
9,"The following are multiple choice questions (with answers) about formal logic.

 Select the best translation into predicate logic. All kings are luckier than all paupers. (Kx: x is a king; Px: x is a pauper; Lxy: x is luckier than y)
A. (∀x)[Kx ⊃ (∀y)(Py ⊃ Lxy)]
B. (∀x)[Kx ⊃ (∀y)(Lxy ⊃ Py)]
C. (∀x)(∀y)[(Kx • Py) ⊃ Lyx]
D. (∀x)[(Kx • (∀y)(Py)) ⊃ Lxy]
Answer:",mmlu,mmlu-9,Label.NONE
