model,prompt_id,score
codellama,gsm8k-0,1
codellama,gsm8k-1,1
codellama,gsm8k-2,0
codellama,gsm8k-3,1
codellama,gsm8k-4,0
codellama,gsm8k-5,0
codellama,gsm8k-6,1
codellama,gsm8k-7,0
codellama,gsm8k-8,0
codellama,gsm8k-9,1
codellama,gsm8k-10,1
codellama,gsm8k-11,0
codellama,gsm8k-12,0
codellama,gsm8k-13,0
codellama,gsm8k-14,0
codellama,gsm8k-15,1
codellama,gsm8k-16,1
codellama,gsm8k-17,1
codellama,gsm8k-18,0
codellama,gsm8k-19,0
codellama,gsm8k-20,0
codellama,gsm8k-21,0
codellama,gsm8k-22,1
codellama,gsm8k-23,1
codellama,gsm8k-24,1
codellama,gsm8k-25,0
codellama,gsm8k-26,0
codellama,gsm8k-27,1
codellama,gsm8k-28,0
codellama,gsm8k-29,0
codellama,gsm8k-30,0
codellama,gsm8k-31,0
codellama,gsm8k-32,1
codellama,gsm8k-33,0
codellama,gsm8k-34,1
codellama,gsm8k-35,0
codellama,gsm8k-36,1
codellama,gsm8k-37,1
codellama,gsm8k-38,0
codellama,gsm8k-39,0
codellama,gsm8k-40,0
codellama,gsm8k-41,0
codellama,gsm8k-42,1
codellama,gsm8k-43,0
codellama,gsm8k-44,1
codellama,gsm8k-45,0
codellama,gsm8k-46,0
codellama,gsm8k-47,1
codellama,gsm8k-48,1
codellama,gsm8k-49,1
codellama,gsm8k-50,1
codellama,gsm8k-51,0
codellama,gsm8k-52,1
codellama,gsm8k-53,0
codellama,gsm8k-54,0
codellama,gsm8k-55,1
codellama,gsm8k-56,1
codellama,gsm8k-57,1
codellama,gsm8k-58,0
codellama,gsm8k-59,1
codellama,gsm8k-60,0
codellama,gsm8k-61,1
codellama,gsm8k-62,0
codellama,gsm8k-63,0
codellama,gsm8k-64,0
codellama,gsm8k-65,0
codellama,gsm8k-66,1
codellama,gsm8k-67,0
codellama,gsm8k-68,0
codellama,gsm8k-69,1
codellama,gsm8k-70,0
codellama,gsm8k-71,1
codellama,gsm8k-72,1
codellama,gsm8k-73,1
codellama,gsm8k-74,0
codellama,gsm8k-75,0
codellama,gsm8k-76,0
codellama,gsm8k-77,1
codellama,gsm8k-78,0
codellama,gsm8k-79,0
codellama,gsm8k-80,0
codellama,gsm8k-81,1
codellama,gsm8k-82,0
codellama,gsm8k-83,1
codellama,gsm8k-84,0
codellama,gsm8k-85,1
codellama,gsm8k-86,1
codellama,gsm8k-87,0
codellama,gsm8k-88,0
codellama,gsm8k-89,1
codellama,gsm8k-90,1
codellama,gsm8k-91,1
codellama,gsm8k-92,0
codellama,gsm8k-93,0
codellama,gsm8k-94,0
codellama,gsm8k-95,1
codellama,gsm8k-96,1
codellama,gsm8k-97,0
codellama,gsm8k-98,1
codellama,gsm8k-99,0
codellama,gsm8k-100,0
codellama,gsm8k-101,0
codellama,gsm8k-102,0
codellama,gsm8k-103,0
codellama,gsm8k-104,1
codellama,gsm8k-105,1
codellama,gsm8k-106,1
codellama,gsm8k-107,0
codellama,gsm8k-108,0
codellama,gsm8k-109,1
codellama,gsm8k-110,0
codellama,gsm8k-111,0
codellama,gsm8k-112,1
codellama,gsm8k-113,1
codellama,gsm8k-114,0
codellama,gsm8k-115,0
codellama,gsm8k-116,0
codellama,gsm8k-117,1
codellama,gsm8k-118,1
codellama,gsm8k-119,0
codellama,gsm8k-120,1
codellama,gsm8k-121,0
codellama,gsm8k-122,0
codellama,gsm8k-123,1
codellama,gsm8k-124,1
codellama,gsm8k-125,0
codellama,gsm8k-126,1
codellama,gsm8k-127,1
codellama,gsm8k-128,0
codellama,gsm8k-129,0
codellama,gsm8k-130,1
codellama,gsm8k-131,1
codellama,gsm8k-132,0
codellama,gsm8k-133,1
codellama,gsm8k-134,1
codellama,gsm8k-135,1
codellama,gsm8k-136,0
codellama,gsm8k-137,0
codellama,gsm8k-138,0
codellama,gsm8k-139,0
codellama,gsm8k-140,1
codellama,gsm8k-141,0
codellama,gsm8k-142,0
codellama,gsm8k-143,0
codellama,gsm8k-144,0
codellama,gsm8k-145,0
codellama,gsm8k-146,0
codellama,gsm8k-147,0
codellama,gsm8k-148,0
codellama,gsm8k-149,1
codellama,gsm8k-150,0
codellama,gsm8k-151,1
codellama,gsm8k-152,1
codellama,gsm8k-153,0
codellama,gsm8k-154,0
codellama,gsm8k-155,0
codellama,gsm8k-156,1
codellama,gsm8k-157,0
codellama,gsm8k-158,1
codellama,gsm8k-159,0
codellama,gsm8k-160,1
codellama,gsm8k-161,0
codellama,gsm8k-162,0
codellama,gsm8k-163,0
codellama,gsm8k-164,1
codellama,gsm8k-165,0
codellama,gsm8k-166,1
codellama,gsm8k-167,0
codellama,gsm8k-168,0
codellama,gsm8k-169,1
codellama,gsm8k-170,0
codellama,gsm8k-171,0
codellama,gsm8k-172,0
codellama,gsm8k-173,1
codellama,gsm8k-174,0
codellama,gsm8k-175,0
codellama,gsm8k-176,1
codellama,gsm8k-177,0
codellama,gsm8k-178,1
codellama,gsm8k-179,1
codellama,gsm8k-180,1
codellama,gsm8k-181,1
codellama,gsm8k-182,0
codellama,gsm8k-183,0
codellama,gsm8k-184,0
codellama,gsm8k-185,1
codellama,gsm8k-186,0
codellama,gsm8k-187,1
codellama,gsm8k-188,0
codellama,gsm8k-189,0
codellama,gsm8k-190,0
codellama,gsm8k-191,1
codellama,gsm8k-192,0
codellama,gsm8k-193,1
codellama,gsm8k-194,1
codellama,gsm8k-195,0
codellama,gsm8k-196,0
codellama,gsm8k-197,1
codellama,gsm8k-198,0
codellama,gsm8k-199,0
codellama,gsm8k-200,1
codellama,gsm8k-201,0
codellama,gsm8k-202,1
codellama,gsm8k-203,0
codellama,gsm8k-204,1
codellama,gsm8k-205,0
codellama,gsm8k-206,1
codellama,gsm8k-207,1
codellama,gsm8k-208,1
codellama,gsm8k-209,0
codellama,gsm8k-210,0
codellama,gsm8k-211,0
codellama,gsm8k-212,0
codellama,gsm8k-213,0
codellama,gsm8k-214,0
codellama,gsm8k-215,1
codellama,gsm8k-216,0
codellama,gsm8k-217,0
codellama,gsm8k-218,0
codellama,gsm8k-219,0
codellama,gsm8k-220,1
codellama,gsm8k-221,1
codellama,gsm8k-222,0
codellama,gsm8k-223,1
codellama,gsm8k-224,1
codellama,gsm8k-225,1
codellama,gsm8k-226,0
codellama,gsm8k-227,0
codellama,gsm8k-228,1
codellama,gsm8k-229,0
codellama,gsm8k-230,0
codellama,gsm8k-231,1
codellama,gsm8k-232,1
codellama,gsm8k-233,1
codellama,gsm8k-234,0
codellama,gsm8k-235,0
codellama,gsm8k-236,0
codellama,gsm8k-237,1
codellama,gsm8k-238,0
codellama,gsm8k-239,1
codellama,gsm8k-240,0
codellama,gsm8k-241,1
codellama,gsm8k-242,0
codellama,gsm8k-243,0
codellama,gsm8k-244,0
codellama,gsm8k-245,0
codellama,gsm8k-246,1
codellama,gsm8k-247,0
codellama,gsm8k-248,1
codellama,gsm8k-249,0
codellama,gsm8k-250,0
codellama,gsm8k-251,1
codellama,gsm8k-252,0
codellama,gsm8k-253,1
codellama,gsm8k-254,0
codellama,gsm8k-255,0
codellama,gsm8k-256,1
codellama,gsm8k-257,1
codellama,gsm8k-258,1
codellama,gsm8k-259,0
codellama,gsm8k-260,0
codellama,gsm8k-261,0
codellama,gsm8k-262,1
codellama,gsm8k-263,0
codellama,gsm8k-264,0
codellama,gsm8k-265,1
codellama,gsm8k-266,0
codellama,gsm8k-267,0
codellama,gsm8k-268,1
codellama,gsm8k-269,1
codellama,gsm8k-270,1
codellama,gsm8k-271,1
codellama,gsm8k-272,0
codellama,gsm8k-273,1
codellama,gsm8k-274,1
codellama,gsm8k-275,0
codellama,gsm8k-276,0
codellama,gsm8k-277,1
codellama,gsm8k-278,1
codellama,gsm8k-279,0
codellama,gsm8k-280,1
codellama,gsm8k-281,1
codellama,gsm8k-282,1
codellama,gsm8k-283,1
codellama,gsm8k-284,0
codellama,gsm8k-285,1
codellama,gsm8k-286,0
codellama,gsm8k-287,0
codellama,gsm8k-288,1
codellama,gsm8k-289,1
codellama,gsm8k-290,0
codellama,gsm8k-291,1
codellama,gsm8k-292,1
codellama,gsm8k-293,0
codellama,gsm8k-294,1
codellama,gsm8k-295,0
codellama,gsm8k-296,0
codellama,gsm8k-297,0
codellama,gsm8k-298,0
codellama,gsm8k-299,0
codellama,gsm8k-300,1
codellama,gsm8k-301,0
codellama,gsm8k-302,1
codellama,gsm8k-303,0
codellama,gsm8k-304,0
codellama,gsm8k-305,1
codellama,gsm8k-306,1
codellama,gsm8k-307,0
codellama,gsm8k-308,0
codellama,gsm8k-309,1
codellama,gsm8k-310,0
codellama,gsm8k-311,1
codellama,gsm8k-312,1
codellama,gsm8k-313,0
codellama,gsm8k-314,0
