,prompt,source,prompt_id,prediction
0,"The following are multiple choice questions (with answers) about world religions.

 Naturalists who concentrated on natural elements and processes are associated with which of the following?
A. Daoism
B. Yin-Yang School
C. Mengzi
D. Humanistic Buddhism
Answer:",mmlu,mmlu-0,Label.NONE
1,"The following are multiple choice questions (with answers) about world religions.

 When was the first Buddhist temple constructed in Japan?
A. 325 CE
B. 119 CE
C. 451 CE
D. 596 CE
Answer:",mmlu,mmlu-1,Label.NONE
2,"The following are multiple choice questions (with answers) about world religions.

 What is the name of the ten day New Year festival that celebrated Babylon's culture?
A. Akitu
B. Wag and Thoth
C. Bast
D. Nehebkau
Answer:",mmlu,mmlu-2,Label.NONE
3,"The following are multiple choice questions (with answers) about world religions.

Which of the following terms denote the Japanese art of flower arranging?
A. Zazen
B. Tariki
C. Kami
D. Ikebana
Answer:",mmlu,mmlu-3,Label.NONE
4,"The following are multiple choice questions (with answers) about world religions.

 Guru Nanak and his successors instructed the use of particular Sikh Ragas in order to promote which of the following?
A. Harmony and balance
B. Devotion and piety
C. Love and passion
D. Goodwill and love
Answer:",mmlu,mmlu-4,Label.NONE
5,"The following are multiple choice questions (with answers) about world religions.

 Guru Nanak used what term to denote the ""divine word"" as part of divine revelation?
A. Shabad
B. Khalse
C. Nam
D. Guru
Answer:",mmlu,mmlu-5,Label.NONE
6,"The following are multiple choice questions (with answers) about world religions.

What is the mi'raj?
A. Muhammad's miraculous ascent to heaven
B. Muhammad's migration to Mecca
C. Muhammad's first community in Mecca
D. Muhammad's revelations of the Qur'an
Answer:",mmlu,mmlu-6,Label.NONE
7,"The following are multiple choice questions (with answers) about world religions.

What is the name of the most famous dharmashastras, which probably dates from around the first century?
A. Laws of Dharma
B. Laws of Karma
C. Laws of Vishnu
D. Laws of Manu
Answer:",mmlu,mmlu-7,Label.NONE
8,"The following are multiple choice questions (with answers) about world religions.

What does the term ""Qur'an"" literally mean?
A. The Holy Book
B. The Narrative
C. The Recitation
D. The Pillars
Answer:",mmlu,mmlu-8,Label.NONE
9,"The following are multiple choice questions (with answers) about world religions.

 Mani referred to God by which of the following names?
A. Mother of Light
B. Father of Goodness
C. Ineffable Lover
D. Eternal Spirit
Answer:",mmlu,mmlu-9,Label.NONE
10,"The following are multiple choice questions (with answers) about world religions.

 Which tradition is known to promote ""gradual enlightenment""?
A. Bushido
B. Shinto
C. Nichiren
D. Soto Zen
Answer:",mmlu,mmlu-10,Label.NONE
11,"The following are multiple choice questions (with answers) about world religions.

What is the communal meal offered at the place of worship called in Sikhism?
A. Sangat
B. Langar
C. Gurdwara
D. Panth
Answer:",mmlu,mmlu-11,Label.NONE
12,"The following are multiple choice questions (with answers) about world religions.

To which tradition do the anti-Han rebel group known as the Celestial Masters belong?
A. Buddhism
B. Daoism
C. Confucianism
D. Shamanism
Answer:",mmlu,mmlu-12,Label.NONE
13,"The following are multiple choice questions (with answers) about world religions.

What does the word ""Islam"" mean in Arabic?
A. Worship
B. Submission
C. Obedience
D. Faith
Answer:",mmlu,mmlu-13,Label.NONE
14,"The following are multiple choice questions (with answers) about world religions.

What does the term anatman mean?
A. Suffering
B. Soul
C. Impermanence
D. No-self
Answer:",mmlu,mmlu-14,Label.NONE
15,"The following are multiple choice questions (with answers) about world religions.

 What genre of Sikh literature is denoted by the term janam-sakhis?
A. Spiritual narratives
B. Redemption narratives
C. Birth narratives
D. Theological narratives
Answer:",mmlu,mmlu-15,Label.NONE
16,"The following are multiple choice questions (with answers) about world religions.

Pure Land Buddhism belongs to which school?
A. Vajrayana
B. Theravada
C. Mahayana
D. Mahavira
Answer:",mmlu,mmlu-16,Label.NONE
17,"The following are multiple choice questions (with answers) about world religions.

 Which Jaina group only allows women to lead a life of semi-renunciation?
A. Svetambara
B. Jina
C. Agama
D. Digambara
Answer:",mmlu,mmlu-17,Label.NONE
18,"The following are multiple choice questions (with answers) about world religions.

What is the most important prayer in Judaism?
A. The Shema
B. The Sefirot
C. Deuteronomy
D. The Decalogue
Answer:",mmlu,mmlu-18,Label.NONE
19,"The following are multiple choice questions (with answers) about world religions.

 The socio-political alliance between the kshatriyas and the shramanas was rooted in their shared opposition to which of the following?
A. Brahminic orthodoxy
B. Legalistic asceticism
C. Bhakti devotionals
D. Unorthodox practices
Answer:",mmlu,mmlu-19,Label.NONE
